CountryCode,DatasetSplit
IRN,Train
MYS,Train
COG,Train
TCD,Train
MAR,Train
MWI,Train
MDA,Train
ZAF,Train
GIN,Train
TJK,Train
PER,Train
BOL,Train
GMB,Train
BFA,Train
VUT,Train
THA,Train
SEN,Train
EGY,Train
KHM,Train
UKR,Train
DOM,Train
VEN,Train
LBY,Train
NER,Train
CHN,Train
COL,Train
IRQ,Train
SWZ,Train
MEX,Train
SYR,Train
SUR,Train
LSO,Train
BRA,Train
GAB,Train
GNQ,Train
VNM,Train
ZMB,Train
PAK,Train
LBR,Train
TUN,Train
KAZ,Train
IDN,Train
BDI,Train
BGD,Train
NPL,Train
COD,Train
ECU,Train
AFG,Train
LKA,Train
PHL,Train
ZWE,Train
BEN,Train
ETH,Train
NGA,Train
MRT,Train
YEM,Test
CPV,Test
ERI,Test
GTM,Test
BTN,Test
SDN,Test
MDG,Test
MMR,Test
NAM,Test
IND,Test
AGO,Test
PNG,Test
PRY,Test
AZE,Test
LAO,Test
GHA,Test
JOR,Validation
ARG,Validation
TLS,Validation
FJI,Validation
KGZ,Validation
MOZ,Validation
MNG,Validation
SLV,Validation
